losses_train,losses_val,acces_train,acces_val
1.0,1.0,0.0,0.0
-210.0746844388293,-630.3751395964719,0.3677102176182534,0.3842034397355045
-1364.038053117633,-2214.581748870482,0.3060460955526434,0.2771084337349397
60.18427948029428,1.8609487405981884,0.2605670665661366,0.257697507559535
1.9182632979764984,1.7539561544675903,0.35607268454366475,0.4404282474134821
1.3971472903009785,0.7165041993148662,0.5274210481352829,0.7483265581858685
1.1677689177864627,0.4627245049816126,0.6199840955902638,0.8433733101350716
0.8660950438443864,0.531070479116684,0.7156234912658006,0.8346718171514181
0.8217278808455489,0.9114736592789687,0.7576245940133427,0.7824630430903301
0.6953224186694144,0.21197014869886674,0.7961482113858096,0.9424364940229669
0.5656188578968693,0.29527608863907284,0.8302576055878812,0.9076305220883534
0.21775757514610142,0.09979796300532928,0.9269665860440911,0.9705488825418863
0.14482529079408893,0.07083173135120444,0.9499736069484852,0.9765730402077059
0.12394081853147197,0.05494138690505195,0.9574639823999298,0.982597136593248
